FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
171001;1200;;;;
171001;1300;;;;
171001;1400;;;;
171001;1500;;;;
171001;1600;;;;
171001;1700;;;;
171001;1800;;;;
171001;1900;;;;
171001;2000;;;;
171001;2100;;;;
171001;2200;;;;
171001;2300;;;;
171002;0000;;;;
171002;0100;;;;
171002;0200;;;;
171002;0300;;;;
171002;0400;;;;
171002;0500;;;;
171002;0600;;;;
171002;0700;;;;
171002;0800;;;;
171002;0900;;;;
171002;1000;;;;
171002;1100;;;;
171002;1200;;;;
171002;1300;;;;
171002;1400;;;2,14739;
171002;1500;;;1,96677;
171002;1600;;;1,37995;
171002;1700;;;3,15729;
171002;1800;;;1,93672;
171002;1900;;;1,93365;
171002;2000;;;1,96152;
171002;2100;;;1,95607;
171002;2200;;;1,95923;
171002;2300;;;1,95705;
171003;0000;;;1,96655;
171003;0100;;;1,97938;
171003;0200;;;2,0027;
171003;0300;;;2,02247;
171003;0400;;;2,04032;
171003;0500;;;1,9883;
171003;0600;;;1,98223;
171003;0700;;;1,97895;
171003;0800;;;2,007;
171003;0900;;;2,02715;
171003;1000;;;2,01668;
171003;1100;;;2,04962;
171003;1200;;;1,96852;
171003;1300;;;1,92385;
171003;1400;;;1,90005;
171003;1500;;;1,93008;
171003;1600;;;1,92938;
171003;1700;;;1,9444;
171003;1800;;;1,92773;
171003;1900;;;1,9411;
171003;2000;;;1,95018;
171003;2100;;;1,96742;
171003;2200;;;1,95048;
171003;2300;;;1,95588;
171004;0000;;;1,96312;
171004;0100;;;1,95673;
171004;0200;;;1,99607;
171004;0300;;;2,00663;
171004;0400;;;1,97127;
171004;0500;;;1,98058;
171004;0600;;;1,97055;
171004;0700;;;1,93292;
171004;0800;;;1,95632;
171004;0900;;;1,92292;
171004;1000;;;1,94107;
171004;1100;;;1,92878;
171004;1200;;;1,90992;
171004;1300;;;1,91285;
171004;1400;;;1,90212;
171004;1500;;;1,9142;
171004;1600;;;1,90473;
171004;1700;;;1,92823;
171004;1800;;;1,92588;
171004;1900;;;1,93505;
171004;2000;;;1,95292;
171004;2100;;;1,95075;
171004;2200;;;1,94248;
171004;2300;;;1,93977;
171005;0000;;;1,95505;
171005;0100;;;1,9579;
171005;0200;;;2,00572;
171005;0300;;;1,96785;
171005;0400;;;1,92903;
171005;0500;;;1,9456;
171005;0600;;;1,95072;
171005;0700;;;1,98493;
171005;0800;;;1,95213;
171005;0900;;;1,94283;
171005;1000;;;1,92325;
171005;1100;;;1,83065;
171005;1200;;;1,84068;
171005;1300;;;1,74555;
171005;1400;;;1,76222;
171005;1500;;;;
171005;1600;;;;
171005;1700;;;1,8718;
171005;1800;;;1,85778;
171005;1900;;;1,85575;
171005;2000;;;1,89947;
171005;2100;;;1,92167;
